country,code,symbol,fiscal_year,period,report_date,reported_currency,revenue,cost_of_revenue,sga_expense,operating_expense,ebit,depreciation_amortization,net_interest_income,pretax_income,net_income,shares_basic,shares_diluted,cash_equivalents,short_term_investments,current_assets,ppe_net,non_current_assets,current_liabilities,non_current_liabilities,common_stock,retained_earnings,shareholders_equity,working_capital_change,other_working_capital,other_non_cash_items,operating_cash_flow,investing_cash_flow,financing_cash_flow,net_change_in_cash,cash_begin_period,capital_expenditure
US,MRVL,MRVL,2024,Q4,2024-01-31,USD,1426500000.0,762400000.0,212000000.0,697400000.0,-34700000.0,360100000.0,-49600000.0,-87300000.0,-392700000.0,864700000.0,864700000.0,950800000.0,0.0,3062700000.0,959600000.0,18165800000.0,1814200000.0,4582900000.0,1700000.0,-16700000.0,14831400000.0,-26300000.0,-136500000.0,15700000.0,546600000.0,-76200000.0,-245200000.0,225200000.0,725600000.0,-81600000.0
US,MRVL,MRVL,2025,Q1,2024-05-04,USD,1160900000.0,633100000.0,199900000.0,680100000.0,-149000000.0,337500000.0,-45500000.0,-197800000.0,-215600000.0,865000000.0,865000000.0,847700000.0,0.0,2647700000.0,961600000.0,17843300000.0,1467700000.0,4544600000.0,1700000.0,-284100000.0,14478700000.0,65800000.0,-154400000.0,22500000.0,324500000.0,-101900000.0,-325700000.0,-103100000.0,950800000.0,-92000000.0
US,MRVL,MRVL,2025,Q2,2024-08-03,USD,1272900000.0,685300000.0,197300000.0,688000000.0,-97800000.0,352000000.0,-45800000.0,-146200000.0,-193300000.0,865700000.0,865700000.0,808700000.0,0.0,2763900000.0,998400000.0,17529500000.0,1546500000.0,4542000000.0,1700000.0,-529300000.0,14204900000.0,16000000.0,91900000.0,12900000.0,306400000.0,-53000000.0,-292400000.0,-39000000.0,847700000.0,-53400000.0
US,MRVL,MRVL,2025,Q3,2024-11-02,USD,1516100000.0,1166700000.0,205300000.0,1052200000.0,-702800000.0,341500000.0,-47700000.0,-750500000.0,-676300000.0,865700000.0,865700000.0,868100000.0,0.0,2816800000.0,995600000.0,16898800000.0,1763600000.0,4579100000.0,1700000.0,-1257500000.0,13372900000.0,229800000.0,200800000.0,530800000.0,536300000.0,-75500000.0,-401400000.0,59400000.0,808700000.0,-75500000.0
US,MRVL,MRVL,2025,Q4,2025-01-31,USD,1817400000.0,900000000.0,195700000.0,682200000.0,244800000.0,325900000.0,-35400000.0,199800000.0,200200000.0,865500000.0,865500000.0,948300000.0,0.0,3120300000.0,1036500000.0,17084200000.0,2026800000.0,4750700000.0,1700000.0,-1109200000.0,13427000000.0,-182500000.0,-53900000.0,28500000.0,514000000.0,-70300000.0,-363500000.0,80200000.0,868100000.0,-70700000.0
US,MRVL,MRVL,2026,Q1,2025-05-03,USD,1895300000.0,942900000.0,186400000.0,681800000.0,270600000.0,329900000.0,-54700000.0,215900000.0,177900000.0,864800000.0,875600000.0,885900000.0,0.0,3837600000.0,1021000000.0,16186100000.0,2941400000.0,3769600000.0,1700000.0,-983100000.0,13312700000.0,-342800000.0,-119900000.0,30100000.0,332900000.0,-94100000.0,-301200000.0,-62400000.0,948300000.0,-119900000.0
US,MRVL,MRVL,2026,Q2,2025-08-02,USD,2006100000.0,995500000.0,192800000.0,720500000.0,290100000.0,327800000.0,-56400000.0,233700000.0,194800000.0,862600000.0,870400000.0,1224400000.0,0.0,4512900000.0,1068100000.0,16073400000.0,2399300000.0,4765300000.0,1700000.0,-840000000.0,13421700000.0,-246400000.0,76600000.0,36700000.0,461600000.0,-77200000.0,-45900000.0,338500000.0,885900000.0,-48600000.0
US,MRVL,MRVL,2026,Q3,2025-11-01,USD,2074500000.0,1004700000.0,189900000.0,712000000.0,2266600000.0,315900000.0,1857600000.0,2215400000.0,1901300000.0,861100000.0,869900000.0,2714500000.0,0.0,5512500000.0,1127200000.0,16066500000.0,2736700000.0,4785700000.0,1700000.0,1010500000.0,14056600000.0,32100000.0,102600000.0,-1826100000.0,582300000.0,2391200000.0,-1483400000.0,1490100000.0,1224400000.0,-73500000.0
US,MRVL,MRVL,2026,Q4,2026-01-31,USD,2218700000.0,1145600000.0,123200000.0,659200000.0,413900000.0,317000000.0,-50800000.0,381600000.0,396100000.0,848000000.0,856200000.0,2638800000.0,0.0,6460600000.0,1219100000.0,15824700000.0,3220500000.0,4756400000.0,1700000.0,1355800000.0,14308400000.0,40900000.0,673200000.0,-567700000.0,373700000.0,-122100000.0,-327300000.0,-75700000.0,2714500000.0,-114300000.0
US,MRVL,MRVL,2027,Q1,2026-05-02,USD,2417800000.0,1157000000.0,258400000.0,910700000.0,339400000.0,320600000.0,-52800000.0,83300000.0,34500000.0,882000000.0,893300000.0,3843600000.0,0.0,7464000000.0,1256200000.0,19480500000.0,2276800000.0,6451900000.0,1800000.0,1336500000.0,18215800000.0,-211600000.0,-159200000.0,273900000.0,638800000.0,-1421400000.0,1987400000.0,1204800000.0,2638800000.0,-155700000.0
